country,ldn,nbsap,ndc,bonn_challenge,single_highest_commitment,middle_estimate,middle_estimate_rio
Argentina,1340000,0,0,1000000,1340000,2140000,1340000
Barbados,200,0,0,0,200,200,200
Belize,46450,0,8150,130000,130000,181700,53850
Bolivia,2700000,0,80254000,0,80254000,81534000,81534000
Brazil,0,0,32000000,4280000,32000000,32000000,32000000
Chile,1504800,0,1400000,1500000,1504800,3046800,2746800
Colombia,55300,1600000,4909574,1000000,4909574,5231959,5231959
Costa Rica,0,1002150,307600,1000000,1002150,1309750,1309750
Cuba,615000,1453180,165000,465000,1453180,2083180,2083180
Dominica,2150,0,0,0,2150,2150,2150
Dominican republic,348800,0,0,187000,348800,393000,348800
Ecuador,119653,500000,0,500000,500000,577003,577003
El Salvador,120091,0,1000000,0,1000000,1120091,1120091
Grenada,1983,0,0,0,1983,1983,1983
Guatemala,456284,0,854782,1200000,1200000,2024452,854782
Guyana,2580200,0,2000000,0,2580200,4580200,4580200
Haiti,0,0,208000,0,208000,208000,208000
Honduras,624500,0,1300000,1300000,1300000,1924500,1924500
Jamaica,154306,0,0,0,154306,154306,154306
Nicaragua,1938938,0,4442864,2700000,4442864,8422462,5826462
Panama,1292420,0,71300,1000000,1292420,2313720,1363720
Paraguay,0,0,915498,0,915498,910910,910910
Peru,29238196,0,0,3200000,29238196,32438196,29238196
Saint Lucia,4605,0,0,0,4605,4605,4605
Suriname,108400,4914600,0,0,4914600,5006000,5006000
Trinad and Tobago,700,0,0,0,700,700,700
Uruguay,3213638,0,4013591,200000,4013591,5927229,5727229
Venezuela,362361,0,327060,0,362361,531995,531995
China,106100000,0,0,0,106100000,106100000,106100000
Mongolia,1825370,0,1429040,600000,1825370,3254410,3254410
Australia,0,60100000,0,0,60100000,60100000,60100000
New Zealand,0,500000,0,0,500000,500000,500000
Niue,0,2550,0,0,2550,2550,2550
Republic of Korea,0,16446,0,0,16446,16446,16446
Algeria,4975000,5000000,1245000,0,5000000,10745000,10745000
Egypt,4882350,0,0,0,4882350,4882350,4882350
Iran (Islamic Republic of),0,2000000,0,0,2000000,2000000,2000000
Iraq,340000,100000,0,0,340000,340000,340000
Jordan,382000,1200000,0,0,1200000,1482000,1482000
Kingdom of Saudi Arabia,66900000,0,0,0,66900000,66900000,66900000
Lebanon,5250,0,0,0,5250,5250,5250
Libya,1500,0,0,0,1500,1500,1500
Morocco,0,4500000,4208600,0,4500000,6840000,6840000
State of Palestine,8800,0,4270,0,8800,12850,12850
Syria,1490000,0,0,0,1490000,1490000,1490000
Tunisia,2200000,2000000,0,0,2200000,4200000,4200000
United Arab Emirates,1210907,0,0,0,1210907,1210907,1210907
Canada,0,0,19000000,0,19000000,19000000,19000000
Mexico,0,0,3040785,8468280,8468280,11468280,3040785
United States of America,0,0,0,15000000,15000000,15000000,0
Armenia,2878300,0,0,50000,2878300,2925000,2878300
Azerbaijan,0,0,0,270000,270000,270000,0
Belarus,610000,0,430000,0,610000,980000,980000
Georgia,9236,0,869000,9000,869000,869000,869000
Kazakhstan,2000000,0,0,1500000,2000000,3500000,2000000
Kyrgyzstan,120000,30000,0,323000,323000,463000,140000
"Moldova, Republic of",22041070,5500,0,0,22041070,22041070,22041070
Romania,0,0,15350,0,15350,15350,15350
Tajikistan,0,0,0,66000,66000,66000,0
Ukraine,0,2500,0,0,2500,2500,2500
Uzbekistan,0,0,1100000,500000,1100000,1100000,1100000
Afghanistan,0,0,5582050,0,5582050,5582050,5582050
Bangladesh,510000,0,487800,750000,750000,1540000,790000
Bhutan,31403,0,2000,0,31403,33393,33393
India,0,0,37433270,26000000,37433270,58433270,37433270
Nepal,2628,25000,2098000,0,2098000,2125628,2125628
Pakistan,16400000,67000,3153280,1000000,16400000,18753280,18753280
Sri Lanka,192931,0,0,200000,200000,392614,192931
Turkmenistan,160000,0,0,0,160000,160000,160000
Cambodia,3055700,0,1134200,0,3055700,3874200,3874200
